JUSTIN_VILLAGE_NAME,JID,VILLAGE_ALT_1,VILLAGE_ALT_2,VILLAGE_ALT_3,LGD_VILLAGE_CODE,SDC,SDN,DN,LGD_CODE,CENSUS_2011_CODE,CENSUS_2011_CODE2
Curchorem Cacora,511,Curchorem Cacora (M Cl),Curchorem-Cacora (M Cl),Curchorem-Cacora,252096,05617,Quepem,South Goa,,803252,0
Curchirem,350,,,,626750,05612,Bicholim,North Goa,626750,626750,0
Cudnem,148,,,,626757,05612,Bicholim,North Goa,626757,626757,0
Cumarconda,272,,,,626808,05613,Satari,North Goa,626808,626808,0
Cumbari,52,,,,627007,05618,Sanguem,South Goa,627007,627007,0
Cumbarjua,300,Cumbarjua (CT),,,626728,05611,Tiswadi,North Goa,626728,626728,0
Cundaim,366,,,,626855,05614,Ponda,South Goa,626855,626855,0
Boma,365,,,,626848,05614,Ponda,South Goa,626848,626848,0
Cuncoliem,261,,,,626849,05614,Ponda,South Goa,626849,626849,0
Curdi,200,<Null>,,,627012,05618,Sanguem,South Goa,627012,627012,0
Curca,259,,,,626723,05611,Tiswadi,North Goa,626723,626723,0
Curpem,35,,,,627015,05618,Sanguem,South Goa,627015,627015,0
Loliem,17,,,,627027,05619,Canacona,South Goa,627027,627027,0
Verna,190,Verna (CT),,,626923,05616,Salcete,South Goa,626923,626923,0
Ambarim,440,,,,626705,05611,Tiswadi,North Goa,626705,626705,0
Caraim,445,,,,626707,05611,Tiswadi,North Goa,626707,626707,0
Chorao,446,,,,626706,05611,Tiswadi,North Goa,626706,626706,0
Margao,94,Margao (M Cl),,,252087,05616,Salcete,South Goa,,803249,0
Marcaim,241,Marcaim (CT),,,626867,05614,Ponda,South Goa,626867,626867,0
Majorda,179,,,,626892,05616,Salcete,South Goa,626892,626892,0
Macasana,92,,,,626902,05616,Salcete,South Goa,626902,626902,0
Malar,388,,,,626711,05611,Tiswadi,North Goa,626711,626711,0
Maulinguem,72,,,,626994,05618,Sanguem,South Goa,626994,626994,0
Molcopona,51,,,,626945,05617,Quepem,South Goa,626945,626945,0
Molcarnem,116,,,,626946,05617,Quepem,South Goa,626946,626946,0
Canacona,421,,,,627024,05619,Canacona,South Goa,627024,627024,0
Maloli,309,,,,626796,05613,Satari,North Goa,626796,626796,0
Malpona,245,,,,626838,05613,Satari,North Goa,626838,626838,0
Mandrem,162,Mandrem (CT),,,626659,05609,Pernem,North Goa,626659,626659,0
Mangal,22,,,,626968,05617,Quepem,South Goa,626968,626968,0
Mandur,250,,,,626720,05611,Tiswadi,North Goa,626720,626720,0
Mapusa,7,Mapusa (M Cl),,,803242,05610,Bardez,North Goa,803242,803242,0
Marra,303,,,,626689,05610,Bardez,North Goa,626689,626689,0
Valpoi,401,Valpoy,Valpoi (M Cl),,803246,05613,Satari,North Goa,803246,803246,0
Pale,320,Pale (CT),,,626764,05612,Bicholim,North Goa,626764,626764,0
Mauzi,149,Mausi,,,626806,05613,Satari,North Goa,626806,626806,0
Maulinguem North,351,,,,626749,05612,Bicholim,North Goa,626749,626749,0
Maina,33,,,,626957,05617,Quepem,South Goa,626957,626957,0
Melauli,256,,,,626840,05613,Satari,North Goa,626840,626840,0
Mencurem,108,,,,626741,05612,Bicholim,North Goa,626741,626741,0
Mercurim,240,Mercurim (CT),,,626735,05611,Tiswadi,North Goa,626735,626735,0
Moira,36,Moira (CT),,,626692,05610,Bardez,North Goa,626692,626692,0
Molem,65,,,,626975,05931,Dharbandora,South Goa,626975,626975,0
Mopa,342,,,,626647,05609,Pernem,North Goa,626647,626647,0
Morgim,375,Morjim,Morjim (CT),,626661,05609,Pernem,North Goa,626661,626661,0
Chopdem,374,,,,626656,05609,Pernem,North Goa,626656,626656,0
Morlem,330,,,,626786,05613,Satari,North Goa,626786,626786,0
Muguli,140,,,,626999,05618,Sanguem,South Goa,626999,626999,0
Mulem,129,,,,626913,05616,Salcete,South Goa,626913,626913,0
Mulgao,411,,,,626747,05612,Bicholim,North Goa,626747,626747,0
Sirigao,389,,,,626746,05612,Bicholim,North Goa,626746,626746,0
Seraulim,231,,,,626899,05616,Salcete,South Goa,626899,626899,0
Nachinola,3,,,,626682,05610,Bardez,North Goa,626682,626682,0
Nagoa,12,,,,626674,05610,Bardez,North Goa,626674,626674,0
Nagoa,193,,,,626888,05616,Salcete,South Goa,626888,626888,0
Nagvem,61,,,,626942,05617,Quepem,South Goa,626942,626942,0
Naiquinim,45,,,,627010,05618,Sanguem,South Goa,627010,627010,0
Naquerim,32,,,,626952,05617,Quepem,South Goa,626952,626952,0
Naneli,310,,,,626792,05613,Satari,North Goa,626792,626792,0
Nanorem,306,,,,626797,05613,Satari,North Goa,626797,626797,0
Naroa,167,,,,626712,05612,Bicholim,North Goa,626712,626755,0
Navelim,86,Navelim (CT),,,626930,05616,Salcete,South Goa,626930,626930,0
Navelim,273,,,,626709,05611,Tiswadi,North Goa,626709,626709,0
