JUSTIN_VILLAGE_NAME,JID,VILLAGE_ALT_1,VILLAGE_ALT_2,VILLAGE_ALT_3,LGD_VILLAGE_CODE,SDC,SDN,DN,LGD_CODE,CENSUS_2011_CODE,CENSUS_2011_CODE2
Sancoale,435,Sancoale (CT),,,626886,05615,Mormugao,South Goa,626886,626886,0
Sao Jacinto Island,436,,,,626875,05615,Mormugao,South Goa,626875,626875,0
Raia,205,Raia (CT),,,626925,05616,Salcete,South Goa,626925,626925,0
Calapor,314,Calapor (CT),Santa Cruz,,626732,05611,Tiswadi,North Goa,626732,626732,0
Santona,404,,,,626987,05618,Sanguem,South Goa,626987,626987,0
Cormonem,405,,,,626980,05618,Sanguem,South Goa,626980,626980,0
Sanvordem,301,,,,626816,05613,Satari,North Goa,626816,626816,0
Sanvordem,211,Sanvordem (CT),,,627021,05618,Sanguem,South Goa,627021,627021,0
Sanvorcem,282,,,,626824,05613,Satari,North Goa,626824,626824,0
Sao Jose de Areal,74,Sao Jose de Areal (CT),Sao Jose-de-Areal (CT),Sao Jose-de-Areal,626927,05616,Salcete,South Goa,626927,626927,0
Sarvona,106,,,,626751,05612,Bicholim,North Goa,626751,626751,0
Sarzora,126,,,,626914,05616,Salcete,South Goa,626914,626914,0
Satrem,177,,,,626778,05613,Satari,North Goa,626778,626778,0
Sernabatim,143,,,,626905,05616,Salcete,South Goa,626905,626905,0
Xeldem,138,Xeldem (CT),,,626969,05617,Quepem,South Goa,626969,626969,0
Xelpem,59,,,,627001,05618,Sanguem,South Goa,627001,627001,0
Xelopo-Curdo,391,,,,626833,05613,Satari,North Goa,626833,626833,0
Siranguli,390,,,,626834,05613,Satari,North Goa,626834,626834,0
Curtorim,484,Curtorim (CT),,,626926,05616,Salcete,South Goa,626926,626926,0
Rachol,485,,,,626901,05616,Salcete,South Goa,626901,626901,0
Sigao,184,,,,626978,05931,Dharbandora,South Goa,626978,626978,0
Xelvona,504,,,,626936,05617,Quepem,South Goa,626936,626936,0
Xic-Xelvona,505,,,,626935,05617,Quepem,South Goa,626935,626935,0
Siroda,235,,,,626863,05614,Ponda,South Goa,626863,626863,0
Siroli,174,,,,626769,05613,Satari,North Goa,626769,626769,0
Sirvoi,119,,,,626941,05617,Quepem,South Goa,626941,626941,0
Marna,311,,,,626671,05610,Bardez,North Goa,626671,626671,0
Sigonem,69,,,,627017,05618,Sanguem,South Goa,627017,627017,0
Sigonem,10,,,,626795,05613,Satari,North Goa,626795,626795,0
Siridao,247,,,,626724,05611,Tiswadi,North Goa,626724,626724,0
Sircaim,8,,,,626669,05610,Bardez,North Goa,626669,626669,0
Sirsodem,264,,,,626835,05613,Satari,North Goa,626835,626835,0
Sonal,305,,,,626817,05613,Satari,North Goa,626817,626817,0
Sonauli,78,,,,626989,05931,Dharbandora,South Goa,626989,626989,0
Sulcorna,30,,,,626965,05617,Quepem,South Goa,626965,626965,0
Surla,54,,,,626974,05931,Dharbandora,South Goa,626974,626974,0
Surla,81,,,,626777,05613,Satari,North Goa,626777,626777,0
Batim,450,,,,626722,05611,Tiswadi,North Goa,626722,626722,0
Talaulim,449,,,,626716,05611,Tiswadi,North Goa,626716,626716,0
Talaulim,137,,,,626907,05616,Salcete,South Goa,626907,626907,0
Tamboxem,269,,,,626645,05609,Pernem,North Goa,626645,626645,0
Tiracol,41,,,,626635,05609,Pernem,North Goa,626635,626635,0
Tivrem,368,,,,626843,05614,Ponda,South Goa,626843,626843,0
Orgao,367,Orgao (CT),,,626866,05614,Ponda,South Goa,626866,626866,0
Tudou,125,,,,627004,05618,Sanguem,South Goa,627004,627004,0
Torxem,343,,,,626646,05609,Pernem,North Goa,626646,626646,0
Tuem,161,,,,626655,05609,Pernem,North Goa,626655,626655,0
Undorna,114,,,,626944,05617,Quepem,South Goa,626944,626944,0
Uguem,136,,,,627003,05618,Sanguem,South Goa,627003,627003,0
Uguem,268,,,,626644,05609,Pernem,North Goa,626644,626644,0
Ucassaim,382,,,,626681,05610,Bardez,North Goa,626681,626681,0
Punola,381,,,,626680,05610,Bardez,North Goa,626680,626680,0
Usgao,312,Usgao (CT),,,626873,05614,Ponda,South Goa,626873,626873,0
Ustem,164,,,,626800,05613,Satari,North Goa,626800,626800,0
Utorda,183,,,,626893,05616,Salcete,South Goa,626893,626893,0
Ozorim,352,,,,626652,05609,Pernem,North Goa,626652,626652,0
Naguem,292,,,,626813,05613,Satari,North Goa,626813,626813,0
Volvoi,99,,,,626845,05614,Ponda,South Goa,626845,626845,0
Vanelim,147,,,,626898,05616,Salcete,South Goa,626898,626898,0
Capao,322,,,,626708,05611,Tiswadi,North Goa,626708,626708,0
Vantem,98,,,,626827,05613,Satari,North Goa,626827,626827,0
Varconda,113,,,,626642,05609,Pernem,North Goa,626642,626642,0
Mormugao,428,Mormugao (M Cl),,,252084,05615,Mormugao,South Goa,,803248,0
Sao Jorge Island,425,,,,626881,05615,Mormugao,South Goa,626881,626881,0
Vainguinim,102,,,,626798,05613,Satari,North Goa,626798,626798,0
Vainguinim,13,,,,626753,05612,Bicholim,North Goa,626753,626753,0
Ella,456,,,,626714,05611,Tiswadi,North Goa,626714,626714,0
Gandaulim,455,,,,626713,05611,Tiswadi,North Goa,626713,626713,0
Velguem,285,,,,626762,05612,Bicholim,North Goa,626762,626762,0
Velguem,16,,,,626822,05613,Satari,North Goa,626822,626822,0
Velinga,242,,,,626854,05614,Ponda,South Goa,626854,626854,0
Cuelim,433,,,,626877,05615,Mormugao,South Goa,626877,626877,0
Velsao,432,,,,626882,05615,Mormugao,South Goa,626882,626882,0
Verlem,25,,,,627020,05618,Sanguem,South Goa,627020,627020,0
Cuncolim,470,Cuncolim (M Cl),,,926704,05616,Salcete,South Goa,926704,803250,0
Viliena,48,,,,627008,05618,Sanguem,South Goa,627008,627008,0
Olaulim,271,,,,626686,05610,Bardez,North Goa,626686,626686,0
Vadi,236,,,,626858,05614,Ponda,South Goa,626858,626858,0
Vaguriem,289,,,,626811,05613,Satari,North Goa,626811,626811,0
Zanodem,118,,,,626943,05617,Quepem,South Goa,626943,626943,0
Quepem,120,Quepem (M Cl),,,252097,05617,Quepem,South Goa,,803251,0
Orlim,210,,,,626916,05616,Salcete,South Goa,626916,626916,0
Virnora,109,,,,626654,05609,Pernem,North Goa,626654,626654,0
Talvorda,221,,,,924823,05616,Salcete,South Goa,924823,803250,0
Durgawadi,170,Durgawadi (OG) (Part),Durgawadi (OG),,645599,05611,Tiswadi,North Goa,645599,8032430037,0
Velus,347,,,,924825,05613,Satari,North Goa,924825,803246,0
Varoda,469,,,,924824,05616,Salcete,South Goa,924824,803250,0
Virdi,325,,,,924826,05612,Bicholim,North Goa,924826,803245,0
Amona,223,,,,910339,05617,Quepem,South Goa,910339,803251,0
